comment,toxic,pred,regex_matches
"если бы у них были документы на этот кусок земли, который они называют парковочные места кафе суньхуйврот то они были бы огорожены. а так это 99,99 муниципальная земля, которую каждый долбаеб собственник в силу своего полного долбоебизма абсолютного незнания законов почему то считает своей собственностью.",0.0,1,долбоебизма
"в доллары перевести и пускай будет запас на черный день. ну а в остальном жить как жил, особо не трепаться и бабки не спускать. все равно лям рублей - это не бог весть какая сумма уже. конечно большая, но уже не той ценности, что скажем в нулевых. хотя деньги одни и те же с 1997 года. особо кутить один хуй не выйдет, до конца жизни тоже не растянуть, чтобы жить по середнячку. даже бомжевать не получится. если толку нет куда-то вкладывать и извлекать прибыль, то это именно неплохая подушка безопасности.",0.0,1,"хуй, хуй"
"возьмем как пример россию, западноевропейские страны и сша. идет метисация, сознательная политика замещения белого населения на пришлое черно-коричневое. идет создание новой расы метисов, исламизация и почернение. в крупных городах половина населения - выходцы из ебеней мексики, африки, ближнего востока, а в случае с россией - кавказа и средней азии. этнические ниггеро-арабские гетто верят на хую законы как хотят, чудовищная по масштабам этническая преступность. говорить о миграции и тем более затрагивать тему замещения коренного населения властями нельзя, иначе бутылка. свобода слова тут не для вас, молодой человек. при этом говорить о том, что белые должны вымереть, и это нормально - можно. белые официально вымирают ведется пропаганда так или иначе направленная на снижение рождаемости белого населения. феминизм, лгбт, чайлдфри. каждая женщина в швеции - леволиберальная феминистка, это страна победившего феминизма. что сегодня там происходит - страшно делается. пропагандируются смешанные браки, межрасовые браки, пропагандируется превосходство детей-метисов. идет демонизация белых и пропаганда превосходства черных и смуглых мужчин, форс отношений белая женщина смуглый черный мужчина-мигрант. как результат - все больше чернильниц, все больше смешанных браков, все больше небелых метисов. белые женщины просто не хотят контактировать с мужчинами своей нации и расы, наделяя их самыми плохими качествами и обожествляя черных. при этом большинство белых не считает завоз чурок чем-то плохим, наоборот, относятся к ним толерантно. проводится политика насаждения толерантности, мультикультурализма, политкорректности и космополитизма. набирающее популярность даже в россии sjw - это вообще отдельная тема для обсуждения. все вышеперечисленное относится к сильнейшим когда-то странам, бывшим империям, нагибающим слабых. сегодня происходит так, что бывшие империи в прямом смысле деградируют, вырождаются и вымирают, а место сильнейших когда-то, господствующих народов, занимают те, кого когда-то колонизировали. во франции к 2080 уже будут доминировать негры и арабы, в россии - кавказцы и выходцы из средней азии, в великобритании - индийцы, негры, арабы, пакистанцы, etc. а в маленьких, нейтральных странах, вроде словении или беларуси, литвы или чехии, румынии или эстонии - все пучком. им вымирание не грозит, они остаются и будут оставаться белыми. более того, у них ведется политика, направленная на сохранение традиционных ценностей и культуры коренного населения. они сказали беженцам нет . в польшу, например, русскому или украинцу гораздо легче переехать и остаться, чем арабу или африканцу. в германии ситуация противоположная, белых там не ждут. польша, чехия, словакия, венгрия, словения, хорватия, сербия, биг, черногория, македония, греция, болгария, румыния, молдова, украина, беларусь, литва, латвия, эстония - вот европа будущего. скандинавия, южная, западная европа, а также россия - лишатся коренного населения и своей культуры.",0.0,1,"хую, ебеней"
"дикий ангел это вообще редкий случай, когда удачный подбор актеров и в целом неплохая для жанра сценарная работа делают из типовой мыльной теленовеллы что-то запоминающееся. у нас в открытую смотрели даже ровные пацаны, девки текли по факуну, друг с другом обсуждали серии и все ждали развязки. а потом помню, по окончанию запустили сериал-продолжение, где все старые герои в первой же серии подыхают, а орейро играет уже другую героиню, и это даже бабкам сракам не зашло, сразу выпилили с эфира. еще бы, блять, уже хэппи-энд произошел, и тут тебе жадные аргентинские телепродюсеры говорят нихуя, начинаем по-новой .",0.0,1,блять
"хорошо если они есть, а так сразу подумает что мудак, когда сроки ремонта озвучишь и цену. линейки менять дороже выйдет",0.0,1,мудак
"я указал, что в среднем теслы в сша попадают в дтп в 3.9 раза реже других марок, при активном автопилоте в 6.8 раз реже. тем самым доля долбоебов на теслах ниже чем в среднем на других марках в сша.",0.0,1,долбоебов
зафаршировать хуя...овощами перед этим надобно.,0.0,1,хуя
"естественно, не забываем про бесплатную медицину, отдых, копеечные кино, книги, театры, нихуя не стоящая еда, общественный транспорт няш, ну ты же понимаешь, что ничего бесплатного не бывает. да, еда была дешевая, только ее в магазине нужно было доставать . не как сейчас, пришел в супермаркет, выбрал, что нужно, и пошел на кассу (но спасибо контрсанкциям - выбора теперь меньше), а что есть, то и бери. в москве или ленинграде проблем с выбором было меньше, а где-нибудь в райцентре калининской области была жопа. колбасные электрички не просто так появились - колбасы в магазине не было. деньги вроде как есть, но купить нихуя нельзя. и то же и с одеждой, и с мебелью, и с автомобилями. вот сейчас автомобили дорого стоят. а тогда они тоже дорого стоили, да только ты не мог их просто купить - в очереди нужно было стоять. и жилье было бесплатное, это правда. но ты не мог это самое бесплатное жилье получить там, где тебе хочется. отучился в вузе или пту, получил направление на работу , и работай. и не в москве. как ты понимаешь, а в какой-нибудь залупе. и там же и жилье дадут, да. а хочешь в москву или ленинград - хуй тебе. ну, для москвы, правда, было понятие лимита. и все это бесплатное жилье, образование, медицина - оно не было бесплатным. и когда ссср доходами от нефти не смог покрывать свои потребности, то в ход пошел золотой запас. натурально за золото, накопленное от сверхдоходов, покупали зерно. а когда золото подошло к концу, то тут и жилье бесплатное, и медицина, и наука пиздой накрылись.",0.0,1,"хуй, пиздой, хуй, пиздой"
"хик лучше axis? я вас прошу напишите заявление на увольнение по собственному желанию и не занимайтесь видеонаблюдением больше никогда. если настраивает камеры мудак, то это видно. хик это херня на пару лет, где задача просто смотреть. попробуйте ночью при сильном дожде прочитать номер машины. хик видит ничего от слова совсем. аксис p1435 выдаст вам номер машины и лицо человека в ней. покупать хик с их wdr который на улице уже подыхает это замечательно. а еще лучше потом приезжать на объект и слушать что клиент потратил деньги на это гавно, а теперь еще потратит чтобы это гавно выкинуть и поставить аксис или самсунг.",0.0,1,мудак
"в районе метро жилье стоит столько, что ебнуться можно а затулинка находится в такой жопе, что проще наверное на работе жить, чем домой возвращаться",0.0,1,ебнуться
"я далеко не богат, зарабатываю среднюю зп по спб. обязанности и долги имею. торговаться из-за 50-100 рублей это нормально? объясните, это дань традициям? уже не первый раз вижу такое, кто то ездит продает какую то бню в другой конец города за 300 рублей и торгуется из-за дватцатки, кто то таксисту ночью жопит полтинник. ясно, что на детей надо дохера денег и возможно в переспективе ежедневная экономия на поездках сэкономит вам пару тысяч за год и позволит купить лишний памперс доче. но я так понимаю, что случай был не рядовой и ситуация щекотливая. я что то не понимаю в этом мире. в чем смысл блять торга из-за пачки макарон? извиняюсь за бомбежку.",0.0,1,блять
"надо просто сделать гос. страховку по экзамену, сдал, молодец, умный, если нет хуй тебе, а не страховка и не какой мед. помощи ну или минимум",0.0,1,"хуй, хуй"
"ага, ебешься с девушкой, а вокруг тебя еще куча людей ебется",0.0,1,"ебешься, ебется"
"нежелание давать денег киноделам - тоже голос, вангую, что ты в таргет груп у 75 маркетологов и прокатчиков. если кто-то выбирает фильмы по рейтингу - он редкостный еблан. вейт, ох щи.. другое дело, что механизмы пропаганды работают неэффективно и сбоят. у них в руках есть гигантские возможности по работе с населением, а они гонят толстоту, да и то на коленке собранную. а все потому, что всем насрать, буквально. хотят накручивать рейтинги - нехай, только я все равно на их фильм не пойду, и не из-за рейтингов обзоров.",0.0,1,еблан
"ты ишещь то чего нету. люди внезапно ебутся, а какой они расы и национальности уже не таое собачье дело",0.0,1,ебутся
"мужик живет в испании, готовит как простые, так и сложные блюда. разбавляет видео съемками с гирокоптера по всяким местам в испании. занимается копчением и изготовлением колбас сербы, которые просто ахуенно готовят, не комментируя, без палева ебальников, очень много роликов на природе.",0.0,1,ебальников
"бля, че за болезнь? у мен походу такое же дерьмо.",0.0,1,бля
можно... даже знаю пример... но дети не обязательно выходят оттуда со знаниями несмотря на реально сильных педагогов...в таких школах учатся мажоры а им зачастую хуй класть на образование,0.0,1,"хуй, хуй"
"раз уж вакханалия продолжается, давайте в этом треде продолжать собирать ворох банов. копирую из прошлого треда отсюда и из ответов к нему: ошибка: постинг запрещен. бан: 1067637. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: втр янв 22 22:00:00 2019. в новом аниме-треде ( завелся один сумасшедший модератор, который удаляет видео, а затем банит пользователей за справедливые вопросы о причине удаления данных видео по надуманным причинам вроде злоупотребления трипкодом аватаркой или обсуждения модерации вне d . я - один из тех, кто попал под его раздачу. поэтому, в связи с этим, требую немедленно разбанить меня и остальных, кто стал жертвой модераторского произвола и изгнать с должности модератора этого человека, он профнепригоден. ошибка постинга: постинг запрещен. бан: 1068596. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: птн янв 25 22:00:00 2019. какая блядь аватарка, вы в глаза долбитесь? спасибо абу. ошибка постинга: постинг запрещен. бан: 1068457. причина: b 2 - аватаркочатики в 2d !b. о каких аватаркочатиках может идти речь? какое 2d я там не был в жизни. я общался с аноном без пикч на тему треда! уже и тут пообщатся нельзя? разбаньте позязя. несправедливый бан: постинг запрещен. бан: 1068078. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: срд янв 23 22:00:00 2019. попросил скинуть вебмки по k-on! анон скинул, я сказал спасибо. забанили и меня и его. а еще общалую несправедливый бан. бан: 1068350. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. бан: 1068074. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: срд янв 23 22:00:00 2019. какого хрена мочух банит анонов в аниме тредах по своему желанию и по пизданутым причинам? error: постинг запрещен. бан: 1068344. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: втр янв 22 22:00:00 2019. только что запостил две вебм в вебм тред b , разной тематики, не связанные друг с другом, посты вообще были без текста и трипкода. после второй вебм улетел в бан, тред видимо после этого тоже потерли. какое злоупотребление? может стоит пересмотреть бан? и дебилов которые их выписывают. постинг запрещен. бан: 1068070. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b вы че, ебанутые? понабрали даунов из вбыдлятне. это было не аватарка. меня анон попросил скинуть вебм, что я и сделал. никаких аватарок и чатиков . постинг запрещен. бан: 1067881. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. что за логика у мочи? какая в жопу аватарка? какое злоупотребление пасскодом?! да, постил я там по одному видео, но это b там и бессмыслицу можно постить, да и никто не жаловался на меня, не писал в треде у бля пошел на хуй или репортну . значит если я капчевал капчу с такой же скоростью, то меня не забанили бы? я деньги вам дал, чтобы эту херню сломанную отменить, а в итоге я получаю пиздюлей только потому, что у меня пасскод предупредил анонов, что они могут получить бан написав что-то в треде. ошибка постинга: постинг запрещен. бан: 1068099. причина: m общее 5 - обсуждение модерации вне d !b. почему предупреждение посчитал обсуждением модерации? 2ch.hk b res 190040136.html 190040136 ошибка постинга: постинг запрещен. бан: 1068361. причина: m общее 5 - обсуждение модерации вне d !b. истекает: втр янв 22 22:00:00 2019. обсуждения, кстати говоря, не было, был скрин, твоего удаленного сообщения. выпей уже свои таблетки и не заходи на двач. что за бред какое обсуждение модерации? я обсуждал аниме-конфоблядей и просто сказал что не застал их. ошибка постинга: постинг запрещен. бан: 1068363. причина: m общее 5 - обсуждение модерации вне d !b. истекает: втр янв 22 22:00:00 ошибка постинга: постинг запрещен. бан: 1069746. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: птн янв 25 22:00:00 2019. ошибка постинга: постинг запрещен. бан: 1069608. причина: общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: птн янв 25 22:00:00 2019. запостил одну шебм, ахуенно ошибка постинга: постинг запрещен. бан: 1068589. причина: m общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: птн янв 25 22:00:00 2019. ошибка постинга: постинг запрещен. бан: 1072740. причина: общее 6 - злоупотребление трипкодом, аватаркой !b. истекает: птн фев 01 22:00:00 2019. за единственное первое же сообщение в треде",0.0,1,"хуй, пизданутым, пиздюлей, ебанутые, блядь, бля, хуй, пизданутым, пиздюлей"
"это пиздец как хорошо, в 2017 году яндекс.такси вообще копейки стоило.",0.0,1,"пиздец, пиздец"
не только шесть. все 12 хуев можно дрочить. парни встают парами хуй к хую и дальше погнали в лыжника играть.,0.0,1,"хуй, хую, хуй"
"та ну, хуйня это все про джентельменство . меня в свое время эти брачные игрища так сильно заебали, что я вообще перестал париться и начал себя вести так, как и обычно. без всех этих ужимок и образа славного парня . без зазрения совести перед девушками курил, харкался, матерился как сапожник, рассказывал охуитительные истории о том, как когда-то обосрался бухал ебал кого-то проснулся с обблеванной тян пересказывал пасты про говно и т.д. т.е вел себя как быдлан, как обычно я себя и веду, когда вокруг никого нет. и тогда девушки начали тянуться. после этого я сделал для себя вывод, что девушки вообще не воспринимают что ты им говоришь, что делаешь и т.д. они воспринимают лишь то, как ты все это говоришь и делаешь. когда я начал вести себя как обычно, я делал это, блять, уверенно, самовлюбленно, нагло и аки самец . может это будило в девушках какие-то там инстинкты и они думали что-то в стиле ну ничего что быдло, зато какой уверенный, вах просто! или я хуй знает, но такое поведение позволило мне пользоваться определенной популярностью у девушек. вообще если покопаться во всей этой теме, образ отношений, любви, поведения во всех этих брачных игрищах, все это навязывается нам с рождения источниками массовой информации, через книги, фильмы, красивые любовные истории и т.д. веди себя как джентельмен, жди ту, которая встрепетнет твою душу и от которой твое сердце забьется чаще, а в животе будут летать бабочки, положи всю свою жизнь на счастье второй половинки, будь для нее горой, добытчиком, ебырем-террористом и вся эта прочая романтичная, сопливая хуета. и все это в корне не верно. реальная любовь и отношения, не имеют ничего общего с тем, что нам с рождения вбивают в голову. все эти высокие чувства - обычное желание ебаться. видишь человека - получаешь дозу гормона - кайфуешь. не видишь человека - нет дозы гормона - появляется ломка - ищешь способы увидеть человека. вот тебе описание любви. через какое-то время эти чувства угаснут так или иначе и если у вас кроме этих чуйств нихуя не было, то развод и девичья фамилия. настоящая любовь, это когда у вас есть тысячи причин быть вместе, помимо того, что у вас стойкое желание ебаться. даже когда желание ебаться уже прошло, вам все равно приятно находиться вместе. такое же навязывание светлой и романтишной любви , на моей памяти, вызывало не мало проблем у моих знакомых девушек. они втупую сидели и ждали принца на белом коне годами, ссылаясь на охуенные фразочки если твое, то ты не пропустишь , обещанного три года ждут и прочую ебанину. я и сам к некоторым пытался лезть как кандидат в парни, ухаживал, звал гулять, пытался побольше времени проводить с ними, но все упиралось в одну хуйню. а именно вот есть парень, он очень популярен, он вообще не мой уровень, у него целые армии из девушек желающих попрыгать на его куканчике, и вот она я вся такая красивая, посижу на попе смирно, нихуя не буду делать, он обязательно меня заметит, а пока что я буду отметать кучу нормальных вариантов отношений! ох бедная я несчастная, парня найти то себе не могу, 25 лет а все в девках хожу! . а все почему? а потому что им с детства вбивали, что ухаживать должны мальчики, подкатывать должны мальчики, а ты, вся такая красивая, должна сидеть и ждать пока к тебе подкатят и лишь отсеивать нормальных парней в ожидании его - прынца на белом коне!!1 именно так любовь и работает, нахуй!!11! чето меня занесло и печет пиздец. все это джентельменство хуйня собачья. образ современной любви - та еще дичь. надеюсь через пару десятков поколений, весь этот романтизм и брачные игрища станут архаизмом и люди просто будут влюбляться и быть вместе, без всего этого социально-любовного шлака.",0.0,1,"хуй, пиздец, ебал, ебырем, ебаться, ебаться, ебаться, ебанину, блять, хуй, пиздец"
это когда электрик-мудак не проверил исправность защитного заземления,0.0,1,мудак
